user-id-key,race_id
1,809
1,829
1,8722
1,9178
1,7923
1,5132
1,4714
1,757
1,875
1,618
1,583
1,7218
1,6428
1,993
1,5723
1,3227
1,815
1,3313
1,539
1,764
1,681
1,630
1,2742
1,706
1,643
1,597
1,2863
2,645
2,5943
2,8683
2,14089
2,11549
2,3239
2,6056
2,6101
2,1444
2,9727
2,11634
2,792
2,10928
2,7408
2,824
2,10468
2,10499
2,10417
2,10022
2,6289
2,6779
2,3559
2,10322
2,9969
2,1120
2,9811
2,2772
2,9907
2,9623
2,6121
2,3464
2,9786
2,9795
2,3975
2,564
2,546
2,3337
2,3237
2,597
2,4203
2,1925
2,5635
2,9502
2,579
2,8583
2,6428
2,8766
2,8143
2,858
2,3257
2,984
2,8905
2,6180
2,2740
2,8722
2,9176
2,9178
2,8869
2,9173
2,9171
2,3299
2,707
2,5527
2,659
2,6936
2,8651
2,583
2,684
2,5798
2,662
2,2875
2,7936
2,4706
2,2644
2,2546
2,8103
2,757
2,909
2,8063
2,4494
2,8183
2,8006
2,8001
2,7933
2,8026
2,4847
2,6487
2,7923
2,7887
2,7677
2,4423
2,3904
2,3738
2,2576
2,1587
2,584
2,648
2,2916
2,542
2,543
2,544
2,547
2,972
2,3805
2,7543
2,706
2,1595
2,815
2,4082
2,4078
2,755
2,646
2,988
2,1553
2,1375
2,7244
2,7523
2,5071
2,1428
2,7419
2,6975
2,7263
3,7685
3,2564
3,3036
3,5518
3,3219
3,6119
3,673
3,630
3,5822
3,3399
3,764
4,584
4,583
4,809
4,5279
5,832
5,2652
5,1575
5,1985
5,679
5,2599
6,14151
6,5442
6,1985
6,1859
6,7041
6,3459
6,1182
6,3179
6,4789
7,2863
7,630
7,5330
7,3740
8,1985
8,1876
8,7805
8,3904
8,3227
8,571
8,734
8,618
8,543
8,542
8,584
8,546
8,875
8,7244
8,2892
8,6428
8,764
8,4180
8,756
8,820
8,597
8,3237
8,809
8,3559
8,3459
8,583
8,657
9,4993
9,3227
9,3550
9,567
9,3237
9,764
9,624
9,1859
9,756
9,809
9,657
9,583
9,2564
9,690
9,841
10,859
10,7760
10,681
10,583
10,1309
10,1478
10,1595
10,601
10,567
10,2263
11,859
11,3237
11,1985
11,1859
11,820
11,583
11,3337
11,5585
11,3179
12,583
12,3904
12,706
12,1616
12,8722
12,684
12,800
13,583
13,597
13,764
13,12317
13,10049
13,11549
13,9171
13,2644
13,8026
13,4078
13,1553
13,6936
13,2772
13,5172
13,12753
13,5426
13,6370
13,11608
13,3257
13,7132
13,10317
13,859
13,9944
13,820
14,11458
14,12939
14,794
14,11130
14,13639
14,1595
14,3343
14,12795
14,1229
14,1170
14,5947
14,6936
14,10355
14,10472
14,10402
14,10579
14,9502
14,2564
14,5972
14,8143
14,583
14,8295
14,2740
14,755
14,706
14,4156
14,4031
14,7554
14,7507
14,3738
14,7244
14,815
14,7335
14,7426
14,1309
14,6406
14,3261
14,1339
14,7240
14,5639
14,2453
14,6187
14,859
14,3550
14,662
14,659
14,1101
14,6428
14,597
14,6278
14,3904
15,1985
15,859
15,2160
15,4327
15,3550
15,858
15,597
15,3459
15,764
15,3045
15,782
15,3676
15,3221
15,583
15,3128
15,679
15,1428
16,859
16,583
16,578
16,764
17,6113
17,2126
17,846
17,583
17,1120
17,3270
17,3045
17,1182
17,1184
17,3441
17,3229
18,2644
18,13296
18,706
18,3097
19,684
19,3227
19,1985
19,1101
20,820
20,1170
20,664
20,706
20,809
20,4000
20,764
20,597
20,564
20,824
21,2453
21,2314
21,1101
21,895
21,597
21,564
21,561
21,859
21,583
21,630
21,916
21,620
